one,two
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E15_BE16_1_7784.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E16_BE17_1_7785.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E17_BE18_1_7786.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_E18_BE19_1_7787.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F14_BF15_1_7799.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F15_BF16_1_7800.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F16_BF17_1_7801.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_F17_RH9_1_7802.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_G15_BG17_1_7835.d,2
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_G17_BG20_1_7836.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H13_BH15_1_7845.d,1
X:\TimsTOF-SCP\Data\CM_PROJECT\221024_Subject-04\CMs_Subject4_D_Lvendo_H15_BH16_1_7846.d,1
